aX,aY,aZ,gX,gY,gZ
-1.187,0.114,0.988,30.762,-10.803,20.386
-1.185,0.135,1.069,23.682,-7.996,12.024
-1.216,0.137,1.083,17.029,-4.089,6.897
-1.241,0.147,1.087,17.822,1.282,-0.549
-1.228,0.156,1.097,16.724,7.935,-6.287
-1.248,0.169,1.125,14.526,12.085,-14.160
-1.225,0.181,1.123,13.000,17.334,-22.644
-1.215,0.161,1.100,11.597,23.926,-31.921
-1.200,0.117,1.063,10.315,28.320,-41.748
-1.153,0.061,1.036,10.193,30.640,-51.514
-1.131,-0.006,1.006,10.498,32.715,-60.059
-1.094,-0.074,0.979,9.094,36.072,-66.467
-1.077,-0.142,0.947,8.850,39.917,-71.716
-1.063,-0.207,0.909,7.996,44.067,-77.026
-1.046,-0.251,0.877,8.423,49.377,-81.299
-1.009,-0.290,0.840,11.108,54.443,-85.327
-0.984,-0.323,0.824,13.184,56.702,-89.539
-0.948,-0.362,0.819,15.808,57.861,-93.262
-0.926,-0.404,0.829,19.287,60.059,-95.581
-0.892,-0.443,0.829,24.597,65.491,-96.252
-0.848,-0.472,0.814,30.029,72.754,-95.581
-0.793,-0.485,0.787,31.677,78.491,-95.154
-0.765,-0.510,0.768,29.968,81.482,-95.947
-0.722,-0.533,0.752,26.611,83.557,-98.267
-0.684,-0.555,0.752,22.095,85.022,-101.563
-0.649,-0.580,0.723,15.564,87.646,-105.286
-0.602,-0.604,0.666,7.019,91.064,-108.948
-0.546,-0.625,0.592,1.343,93.323,-111.145
-0.506,-0.661,0.532,1.770,94.177,-111.389
-0.471,-0.674,0.486,9.033,93.262,-109.619
-0.411,-0.667,0.480,19.897,91.553,-107.544
-0.371,-0.673,0.511,29.968,90.088,-107.178
-0.348,-0.706,0.559,36.133,91.614,-109.436
-0.311,-0.755,0.593,40.100,94.543,-113.037
-0.268,-0.817,0.623,42.175,96.497,-117.249
-0.223,-0.889,0.646,40.833,97.717,-120.911
-0.199,-0.950,0.656,35.889,98.267,-122.742
-0.096,-0.957,0.634,29.541,99.731,-122.742
-0.029,-0.983,0.584,25.940,98.389,-123.596
0.077,-0.971,0.558,22.400,94.604,-121.765
0.193,-0.983,0.517,22.644,95.032,-116.455
0.293,-1.021,0.492,31.189,93.994,-114.319
0.380,-1.058,0.486,34.546,89.722,-108.704
0.445,-1.083,0.472,33.020,86.853,-102.783
0.498,-1.103,0.424,28.870,85.693,-97.290
0.546,-1.100,0.387,23.437,80.994,-92.896

0.696,-1.111,0.388,17.273,64.514,-85.754
0.767,-1.091,0.414,19.836,55.786,-79.407
0.845,-1.069,0.433,22.644,51.025,-70.496
0.893,-1.073,0.471,23.621,45.471,-62.012
0.927,-1.083,0.529,22.156,37.048,-55.542
0.987,-1.112,0.580,19.287,30.457,-51.636
1.065,-1.164,0.619,13.672,24.780,-49.133
1.121,-1.217,0.639,5.981,18.982,-44.556
1.176,-1.242,0.639,-0.427,16.724,-36.316
1.223,-1.224,0.613,-3.906,15.076,-24.414
1.239,-1.190,0.586,-7.446,11.108,-11.292
1.222,-1.160,0.562,-10.742,5.371,0.488
1.207,-1.128,0.558,-11.475,-0.427,11.230
1.180,-1.114,0.553,-10.498,-5.859,21.484
1.132,-1.109,0.537,-9.705,-11.536,30.090
1.076,-1.100,0.511,-11.475,-19.958,37.537
1.008,-1.076,0.490,-16.846,-28.992,43.152
0.945,-1.066,0.465,-24.597,-38.879,47.729
0.864,-1.063,0.495,-31.738,-51.453,52.612
0.780,-1.056,0.547,-33.813,-61.768,59.265
0.689,-1.038,0.591,-32.471,-66.650,68.359
0.594,-1.008,0.618,-30.151,-68.481,78.674
0.493,-0.971,0.646,-28.320,-70.984,88.745
0.399,-0.931,0.670,-27.283,-74.646,96.741
