aX,aY,aZ,gX,gY,gZ
0.097,-1.244,-0.214,-62.988,12.939,4.883
0.134,-1.274,-0.186,-58.960,14.465,14.160
0.160,-1.281,-0.162,-59.143,18.921,26.733
0.158,-1.268,-0.143,-61.401,20.630,37.354
0.145,-1.237,-0.120,-64.087,21.790,46.631
0.150,-1.183,-0.126,-68.604,23.804,54.932
0.174,-1.113,-0.148,-74.707,23.987,60.425
0.187,-1.039,-0.182,-80.933,20.752,63.232
0.205,-0.964,-0.208,-85.754,14.587,65.857
0.238,-0.904,-0.225,-87.585,6.042,69.458
0.224,-0.868,-0.193,-86.060,-4.272,74.463
0.124,-0.841,-0.115,-78.430,-11.475,80.261
0.106,-0.835,-0.065,-67.566,-7.507,89.905
0.116,-0.811,-0.032,-64.087,0.671,99.487
0.122,-0.785,-0.012,-65.491,5.066,100.708
0.116,-0.761,-0.001,-72.021,4.639,95.581
0.110,-0.720,0.008,-78.857,2.991,88.501
0.144,-0.668,0.010,-83.618,3.784,82.153
0.189,-0.612,0.011,-88.135,3.479,76.294
0.227,-0.565,0.008,-90.271,-0.305,69.824
0.249,-0.511,-0.003,-91.248,-5.554,64.880
0.256,-0.448,-0.004,-90.088,-11.414,62.073
0.249,-0.392,0.026,-85.632,-17.517,60.730
0.225,-0.343,0.048,-78.857,-23.621,61.279
0.191,-0.328,0.081,-72.327,-30.334,61.523
0.161,-0.319,0.109,-65.613,-38.574,60.669
0.118,-0.306,0.147,-59.692,-46.753,58.167
0.082,-0.298,0.182,-54.810,-51.208,55.176
0.051,-0.290,0.214,-53.406,-52.429,52.490
0.027,-0.282,0.223,-55.115,-54.565,49.683
-0.005,-0.254,0.248,-57.312,-57.129,46.875
-0.028,-0.227,0.254,-57.312,-57.983,45.166
-0.031,-0.197,0.243,-56.702,-58.594,44.617
-0.055,-0.168,0.223,-54.077,-60.852,43.579
-0.072,-0.147,0.225,-48.828,-62.744,43.518
-0.075,-0.126,0.232,-42.419,-64.941,45.837
-0.076,-0.110,0.266,-33.569,-69.824,49.805
-0.096,-0.098,0.297,-24.109,-77.148,53.528
-0.159,-0.087,0.335,-15.991,-84.229,58.167
-0.245,-0.065,0.391,-7.080,-86.731,63.293
-0.301,-0.043,0.439,1.038,-83.435,67.261
-0.329,-0.027,0.461,4.089,-76.843,67.871
-0.349,-0.034,0.482,3.418,-71.899,61.829
-0.339,-0.057,0.507,0.854,-70.923,49.927
-0.318,-0.069,0.509,-6.836,-73.120,37.659
-0.310,-0.095,0.494,-16.357,-75.562,28.442
-0.332,-0.108,0.468,-22.705,-79.407,24.048
-0.368,-0.092,0.440,-22.827,-82.275,25.513
-0.377,-0.054,0.404,-18.311,-82.275,33.630
-0.412,-0.023,0.364,-10.864,-81.238,43.030
-0.474,0.005,0.360,1.099,-83.862,49.072
-0.508,0.007,0.367,15.991,-85.815,54.871
-0.545,0.005,0.396,27.771,-88.501,59.143
-0.599,0.004,0.442,38.940,-93.811,58.716
-0.631,0.002,0.494,46.204,-96.680,55.786
-0.665,-0.005,0.520,48.401,-97.656,50.842
-0.692,-0.028,0.558,47.058,-98.145,42.053
-0.713,-0.052,0.623,44.373,-98.572,30.090
-0.757,-0.083,0.674,41.321,-97.107,17.517
-0.760,-0.127,0.699,35.095,-93.689,7.751
-0.791,-0.168,0.726,28.625,-92.834,-1.709
-0.813,-0.224,0.737,24.963,-92.773,-9.827
-0.780,-0.295,0.711,21.545,-94.788,-14.282
-0.817,-0.357,0.703,19.653,-100.281,-16.418
-0.861,-0.417,0.670,22.949,-103.455,-12.695
-0.831,-0.460,0.644,29.724,-102.173,-1.404
-0.829,-0.498,0.612,35.522,-101.440,9.277
-0.876,-0.534,0.668,37.842,-100.586,15.137
-1.033,-0.704,0.696,42.969,-96.313,18.311
-0.978,-0.538,0.602,30.762,-85.632,25.208
-0.754,-0.675,0.579,9.399,-84.229,13.855

-0.629,-0.622,0.349,-0.183,-80.688,-1.770
-0.889,-0.628,0.404,10.376,-89.600,-2.808
-0.853,-0.584,0.383,29.114,-84.961,8.423
-0.993,-0.600,0.497,64.209,-86.975,16.296
-1.028,-0.663,0.649,101.440,-81.421,18.738
-1.045,-0.785,0.704,122.620,-74.280,19.775
-1.034,-0.956,0.758,136.353,-68.237,13.184
-0.978,-1.094,0.762,133.484,-65.186,8.789
-1.005,-1.164,0.768,121.826,-61.951,7.263
-0.983,-1.160,0.760,108.887,-55.725,10.437
-0.980,-1.109,0.712,93.628,-46.204,13.550
-1.006,-1.056,0.630,76.477,-35.461,12.634
-1.054,-1.018,0.559,58.838,-24.902,5.859
-1.072,-1.004,0.501,45.166,-14.771,-6.531
-1.086,-1.023,0.477,37.598,-8.423,-22.095
-1.090,-1.068,0.499,36.133,-5.371,-36.072
-1.108,-1.143,0.561,42.786,-4.333,-44.861
-1.140,-1.217,0.652,55.725,-3.845,-46.448
-1.184,-1.263,0.757,69.946,-2.930,-42.236
-1.234,-1.290,0.855,81.177,0.854,-36.438
-1.290,-1.302,0.933,87.708,7.385,-31.372
-1.326,-1.288,0.984,88.806,17.151,-28.687
-1.335,-1.257,1.014,83.801,30.396,-30.090
-1.313,-1.221,1.006,72.388,45.105,-35.950
-1.279,-1.178,0.961,58.167,58.960,-44.861
-1.224,-1.123,0.908,46.021,71.045,-53.528
-1.152,-1.067,0.844,37.903,80.750,-59.143
-1.093,-1.006,0.765,34.241,86.487,-61.462
-1.036,-0.940,0.689,35.706,86.670,-60.486
-1.053,-0.912,0.670,40.894,81.909,-57.678
-1.172,-0.897,0.707,52.429,79.346,-54.077
-1.190,-0.895,0.720,65.430,92.896,-44.373
-1.145,-0.891,0.688,67.932,117.249,-34.424
