aX,aY,aZ,gX,gY,gZ
-0.082,-0.614,0.536,-85.815,54.138,13.245
-0.067,-0.546,0.452,-82.642,48.950,12.573
-0.058,-0.501,0.379,-80.750,40.710,13.000
-0.098,-0.480,0.382,-78.430,31.677,13.367
-0.144,-0.455,0.395,-74.402,29.419,8.911
-0.120,-0.416,0.395,-74.463,37.964,3.967
-0.085,-0.403,0.376,-80.933,48.645,2.563
-0.089,-0.381,0.354,-88.562,52.979,2.258
-0.090,-0.350,0.325,-93.384,54.504,3.052
-0.086,-0.345,0.300,-98.816,58.105,6.531
-0.075,-0.340,0.265,-105.164,62.439,12.085
-0.052,-0.331,0.214,-109.070,64.575,17.761
-0.014,-0.315,0.163,-109.497,63.965,22.766
0.017,-0.301,0.128,-108.459,62.683,28.687
0.027,-0.279,0.102,-104.797,62.073,37.598
0.038,-0.229,0.072,-97.412,63.477,48.523
0.051,-0.160,0.058,-86.670,65.674,59.143
0.044,-0.091,0.072,-74.707,65.247,68.848
0.035,-0.017,0.083,-63.171,62.988,77.332
0.023,0.054,0.081,-53.040,60.242,82.764
0.006,0.130,0.094,-44.983,55.786,84.839
-0.014,0.188,0.102,-39.185,50.110,83.069
-0.015,0.237,0.109,-36.987,45.288,78.247
0.000,0.298,0.106,-34.058,38.391,70.984
0.006,0.330,0.118,-32.349,29.907,61.707
0.022,0.361,0.134,-30.762,20.996,53.162
0.023,0.397,0.160,-27.344,12.268,44.922
0.039,0.440,0.194,-22.278,5.859,36.560
0.045,0.497,0.224,-14.954,1.465,28.503
0.058,0.536,0.226,-7.263,-1.404,21.667
0.067,0.568,0.210,-0.061,-3.967,15.503
0.070,0.590,0.184,8.728,-6.775,9.094
0.055,0.582,0.150,18.982,-10.010,2.869
0.059,0.581,0.108,30.334,-12.024,-3.235
0.050,0.561,0.056,40.649,-13.672,-9.705
0.021,0.543,0.017,53.162,-18.188,-15.076
0.002,0.527,-0.016,66.162,-22.705,-20.508
-0.026,0.453,-0.048,75.134,-28.320,-27.039
-0.037,0.362,-0.040,82.275,-36.133,-33.508
-0.038,0.269,-0.021,88.013,-42.480,-40.771
0.010,0.164,-0.007,87.341,-45.044,-46.265
0.018,0.075,-0.001,82.825,-50.659,-46.936
-0.004,0.004,-0.040,77.026,-55.481,-46.021
-0.049,-0.044,-0.107,72.571,-57.007,-45.044
-0.127,-0.085,-0.185,78.857,-61.340,-44.983
-0.158,-0.160,-0.213,96.191,-66.528,-47.974
-0.165,-0.234,-0.169,121.216,-70.251,-49.622
-0.234,-0.359,-0.042,149.353,-68.481,-47.241
-0.283,-0.480,0.123,176.392,-59.387,-42.603
-0.304,-0.620,0.283,194.153,-48.889,-43.213
-0.327,-0.777,0.429,196.167,-46.936,-51.331
-0.329,-0.951,0.586,187.805,-55.908,-63.843
-0.285,-1.158,0.766,174.377,-67.444,-75.073
-0.289,-1.351,0.927,161.926,-75.134,-80.933
-0.324,-1.566,1.044,151.611,-74.768,-79.773
-0.297,-1.810,1.174,146.240,-69.397,-78.064
-0.325,-2.030,1.350,156.189,-67.200,-83.252
-0.293,-2.167,1.505,161.072,-57.983,-78.430
-0.280,-2.260,1.613,157.349,-44.922,-60.730
-0.246,-2.318,1.654,150.513,-35.400,-34.668
-0.272,-2.321,1.690,136.292,-28.198,-20.081
-0.312,-2.308,1.744,113.403,-20.935,-14.038
-0.318,-2.303,1.771,88.074,-17.090,-14.282
-0.327,-2.320,1.756,63.232,-16.296,-17.883
-0.348,-2.384,1.834,33.630,-12.939,-17.334
-0.349,-2.440,1.859,8.972,-10.925,-16.235
-0.325,-2.447,1.892,-6.592,-9.583,-14.221
-0.316,-2.442,1.894,-18.921,-6.836,-7.446
-0.320,-2.376,1.836,-26.672,-0.488,1.160
